,group_1
0,1
2,3
3,3
13,10
15,12
16,14
17,15
20,17
21,20
22,20
23,20
25,20
26,20
27,22
29,25
30,26
31,28
32,30
37,35
38,36
39,38
40,39
42,43
43,44
46,45
48,50
49,51
50,52
55,58
56,61
57,62
60,66
63,67
64,68
66,70
67,71
68,72
69,73
73,78
74,81
75,82
80,86
84,91
85,92
88,97
89,98
91,99
94,102
97,103
98,105
99,107
100,108
101,108
103,110
104,110
110,114
113,119
116,122
117,123
119,127
120,128
121,128
124,133
126,136
128,138
131,140
132,141
134,146
136,148
138,151
139,152
140,160
144,164
147,167
148,169
149,170
153,174
154,177
155,178
157,179
159,181
162,186
164,189
165,190
167,192
168,192
170,193
173,196
174,197
176,199
183,205
185,207
189,211
190,212
191,212
192,213
193,216
194,217
198,220
199,220
200,220
201,220
203,221
204,221
205,221
207,221
208,221
209,221
210,222
213,223
214,224
216,229
217,231
218,232
219,233
220,234
222,239
224,241
225,242
226,243
230,245
231,246
232,248
233,250
235,252
236,253
239,257
241,258
242,260
243,261
246,267
248,270
251,278
252,278
259,286
261,287
262,288
272,301
273,302
275,304
276,305
277,306
279,309
280,310
285,314
289,320
290,320
291,321
292,322
293,324
294,326
298,330
299,331
301,334
302,336
308,341
309,343
310,345
312,347
316,352
319,357
322,359
323,360
325,365
326,368
329,370
331,372
332,373
333,375
335,377
336,378
338,378
341,378
347,382
348,383
349,383
352,385
353,387
354,388
355,389
357,392
358,395
359,395
362,398
363,401
364,401
367,405
368,407
369,407
370,407
371,408
372,409
373,410
374,411
376,413
377,415
379,417
382,425
391,432
393,433
397,436
398,437
399,437
401,439
402,441
403,442
404,444
405,444
406,445
407,445
410,448
420,456
422,457
423,457
425,459
430,462
431,463
432,463
433,465
435,466
436,468
439,471
441,472
443,475
444,476
447,477
448,480
450,482
451,482
452,485
453,487
454,488
459,499
461,501
462,502
464,503
465,503
469,504
479,516
480,517
483,520
485,522
488,527
490,528
491,529
492,531
494,533
495,534
496,534
497,537
503,539
505,540
506,542
507,545
508,546
509,547
514,551
519,555
521,559
522,560
525,561
526,563
529,564
530,565
533,568
538,571
542,571
544,572
545,573
547,576
548,577
550,579
552,581
559,585
561,587
562,588
563,589
564,590
565,591
566,593
567,594
568,594
571,597
572,598
575,599
579,602
581,603
582,607
583,607
584,607
586,609
587,610
591,615
595,618
600,629
603,633
604,634
606,635
607,636
608,636
609,637
612,641
615,642
620,645
624,647
628,656
630,657
631,658
633,660
634,661
636,664
638,665
639,668
640,669
642,672
643,674
644,677
645,678
646,679
647,680
648,680
649,680
651,683
655,685
657,686
658,687
659,688
662,691
663,691
666,693
670,699
672,702
680,710
681,712
683,713
685,714
687,714
688,714
692,718
693,719
694,724
695,726
699,732
700,733
701,734
702,736
703,737
705,740
707,740
709,746
710,750
712,753
716,756
718,757
720,762
721,764
723,765
724,767
725,768
728,770
729,770
730,770
731,770
734,771
735,772
739,773
741,777
742,779
743,781
746,785
748,787
749,788
750,789
751,789
754,791
755,793
758,795
760,797
762,799
765,806
767,808
769,809
770,809
772,811
776,815
777,816
778,817
782,820
786,824
789,828
794,834
795,835
796,836
797,839
798,840
799,845
800,846
806,851
809,860
810,863
811,863
812,863
815,867
817,869
818,870
820,873
821,874
822,875
823,876
825,878
826,879
827,881
828,883
829,885
831,889
833,890
835,898
837,899
840,903
841,904
842,905
844,907
845,907
847,911
850,913
851,915
852,918
853,919
854,921
856,922
859,924
860,925
864,926
865,927
867,930
872,933
873,935
874,938
879,941
880,942
881,944
882,944
884,947
887,952
888,953
889,955
892,960
896,965
897,966
898,968
901,971
902,972
904,976
905,978
908,982
910,984
911,984
912,984
914,984
916,984
919,987
920,988
922,989
923,990
924,991
926,992
928,992
930,992
931,993
932,994
933,994
935,997
937,1000
938,1001
940,1002
943,1005
944,1006
949,1011
950,1011
952,1013
954,1015
955,1017
959,1022
960,1024
962,1024
963,1024
964,1025
965,1026
967,1027
968,1027
971,1030
972,1031
973,1032
975,1034
978,1038
981,1043
982,1045
983,1045
984,1046
989,1051
990,1052
991,1053
996,1058
997,1060
998,1062
1003,1068
1004,1071
1007,1076
1008,1077
1009,1078
1010,1079
1011,1080
1012,1082
1016,1084
1017,1085
1019,1086
1020,1086
1023,1088
1025,1089
1028,1094
1030,1096
1032,1099
1033,1100
1035,1100
1036,1100
1037,1102
1038,1105
1039,1108
1041,1110
1045,1114
1046,1114
1051,1117
1053,1123
1055,1129
1056,1130
1058,1132
1068,1144
1069,1144
1070,1146
1073,1148
1074,1148
1078,1148
1080,1149
1081,1149
1082,1149
1083,1149
1084,1150
1085,1152
1090,1155
1092,1156
1095,1161
1098,1165
1099,1165
1102,1166
1104,1168
1105,1169
1106,1170
1111,1178
1113,1180
1117,1185
1119,1186
1120,1186
1122,1186
1123,1187
1124,1187
1125,1187
1126,1188
1128,1191
1129,1192
1133,1197
1135,1199
1136,1203
1137,1206
1138,1208
1140,1210
1141,1211
1142,1211
1144,1211
1146,1211
1148,1212
1153,1218
1154,1220
1155,1221
1156,1221
1157,1222
1163,1230
1164,1231
1166,1232
1170,1236
1176,1243
1177,1243
1178,1246
1180,1250
1181,1254
1182,1254
1185,1256
1186,1258
1187,1259
1189,1261
1190,1263
1191,1264
1193,1269
1194,1271
1195,1273
1196,1274
1197,1278
1200,1281
